BioProject,#Organism Name,Organism Groups,Strain,BioSample,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
PRJNA450837,Bos taurus,Eukaryota;Animals;Mammals,L1 Dominette 01449 registration number 42190680,SAMN03145444,GCA_002263795.2, Chromosome,2715.85,41.9362,chromosome 1:NC_037328.1/CM008168.2; chromosome 2:NC_037329.1/CM008169.2; chromosome 3:NC_037330.1/CM008170.2; chromosome 4:NC_037331.1/CM008171.2; chromosome 5:NC_037332.1/CM008172.2; chromosome 6:NC_037333.1/CM008173.2; chromosome 7:NC_037334.1/CM008174.2; chromosome 8:NC_037335.1/CM008175.2; chromosome 9:NC_037336.1/CM008176.2; chromosome 10:NC_037337.1/CM008177.2; chromosome 11:NC_037338.1/CM008178.2; chromosome 12:NC_037339.1/CM008179.2; chromosome 13:NC_037340.1/CM008180.2; chromosome 14:NC_037341.1/CM008181.2; chromosome 15:NC_037342.1/CM008182.2; chromosome 16:NC_037343.1/CM008183.2; chromosome 17:NC_037344.1/CM008184.2; chromosome 18:NC_037345.1/CM008185.2; chromosome 19:NC_037346.1/CM008186.2; chromosome 20:NC_037347.1/CM008187.2; chromosome 21:NC_037348.1/CM008188.2; chromosome 22:NC_037349.1/CM008189.2; chromosome 23:NC_037350.1/CM008190.2; chromosome 24:NC_037351.1/CM008191.2; chromosome 25:NC_037352.1/CM008192.2; chromosome 26:NC_037353.1/CM008193.2; chromosome 27:NC_037354.1/CM008194.2; chromosome 28:NC_037355.1/CM008195.2; chromosome 29:NC_037356.1/CM008196.2; chromosome X:NC_037357.1/CM008197.2; mitochondrion MT:NC_006853.1/CM008198.1,NKLS02,2211,63696,2017-08-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/795/GCA_002263795.2_ARS-UCD1.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.1_ARS-UCD1.2
PRJNA739192,Ovis aries,Eukaryota;Animals;Mammals,OAR_USU_Benz2616,SAMN17575729,GCA_016772045.1, Chromosome,2628.15,41.9869,chromosome 1:NC_056054.1/CM028704.1; chromosome 2:NC_056055.1/CM028705.1; chromosome 3:NC_056056.1/CM028706.1; chromosome 4:NC_056057.1/CM028707.1; chromosome 5:NC_056058.1/CM028708.1; chromosome 6:NC_056059.1/CM028709.1; chromosome 7:NC_056060.1/CM028710.1; chromosome 8:NC_056061.1/CM028711.1; chromosome 9:NC_056062.1/CM028712.1; chromosome 10:NC_056063.1/CM028713.1; chromosome 11:NC_056064.1/CM028714.1; chromosome 12:NC_056065.1/CM028715.1; chromosome 13:NC_056066.1/CM028716.1; chromosome 14:NC_056067.1/CM028717.1; chromosome 15:NC_056068.1/CM028718.1; chromosome 16:NC_056069.1/CM028719.1; chromosome 17:NC_056070.1/CM028720.1; chromosome 18:NC_056071.1/CM028721.1; chromosome 19:NC_056072.1/CM028722.1; chromosome 20:NC_056073.1/CM028723.1; chromosome 21:NC_056074.1/CM028724.1; chromosome 22:NC_056075.1/CM028725.1; chromosome 23:NC_056076.1/CM028726.1; chromosome 24:NC_056077.1/CM028727.1; chromosome 25:NC_056078.1/CM028728.1; chromosome 26:NC_056079.1/CM028729.1; chromosome X:NC_056080.1/CM028730.1; mitochondrion MT:NC_001941.1/CM028731.1,JAEVFA01,142,60628,2021-01-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/772/045/GCA_016772045.1_ARS-UI_Ramb_v2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/772/045/GCF_016772045.1_ARS-UI_Ramb_v2.0
PRJNA681562,Canis lupus familiaris,Eukaryota;Animals;Mammals,SID07034,SAMN14478636,GCA_014441545.1, Chromosome,2396.86,41.2374,chromosome 1:NC_051805.1/CM025100.1; chromosome 2:NC_051806.1/CM025101.1; chromosome 3:NC_051807.1/CM025102.1; chromosome 4:NC_051808.1/CM025103.1; chromosome 5:NC_051809.1/CM025104.1; chromosome 6:NC_051810.1/CM025105.1; chromosome 7:NC_051811.1/CM025106.1; chromosome 8:NC_051812.1/CM025107.1; chromosome 9:NC_051813.1/CM025108.1; chromosome 10:NC_051814.1/CM025109.1; chromosome 11:NC_051815.1/CM025110.1; chromosome 12:NC_051816.1/CM025111.1; chromosome 13:NC_051817.1/CM025112.1; chromosome 14:NC_051818.1/CM025113.1; chromosome 15:NC_051819.1/CM025114.1; chromosome 16:NC_051820.1/CM025115.1; chromosome 17:NC_051821.1/CM025116.1; chromosome 18:NC_051822.1/CM025117.1; chromosome 19:NC_051823.1/CM025118.1; chromosome 20:NC_051824.1/CM025119.1; chromosome 21:NC_051825.1/CM025120.1; chromosome 22:NC_051826.1/CM025121.1; chromosome 23:NC_051827.1/CM025122.1; chromosome 24:NC_051828.1/CM025123.1; chromosome 25:NC_051829.1/CM025124.1; chromosome 26:NC_051830.1/CM025125.1; chromosome 27:NC_051831.1/CM025126.1; chromosome 28:NC_051832.1/CM025127.1; chromosome 29:NC_051833.1/CM025128.1; chromosome 30:NC_051834.1/CM025129.1; chromosome 31:NC_051835.1/CM025130.1; chromosome 32:NC_051836.1/CM025131.1; chromosome 33:NC_051837.1/CM025132.1; chromosome 34:NC_051838.1/CM025133.1; chromosome 35:NC_051839.1/CM025134.1; chromosome 36:NC_051840.1/CM025135.1; chromosome 37:NC_051841.1/CM025136.1; chromosome 38:NC_051842.1/CM025137.1; chromosome X:NC_051843.1/CM025138.1; chromosome Y:NC_051844.1/CM025139.1; mitochondrion MT:CM025140.1,JAAUVH01,376,66768,2020-09-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/441/545/GCA_014441545.1_ROS_Cfam_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/441/545/GCF_014441545.1_ROS_Cfam_1.0
PRJNA534073,Ornithorhynchus anatinus,Eukaryota;Animals;Mammals,Pmale09,SAMN08537700,GCA_004115215.4, Chromosome,1859.28,46.1721,chromosome 1:NC_041728.1/CM014200.1; chromosome 2:NC_041729.1/CM014201.1; chromosome 3:NC_041730.1/CM014202.1; chromosome 4:NC_041731.1/CM014203.1; chromosome 5:NC_041732.1/CM014204.1; chromosome 6:NC_041733.1/CM014205.1; chromosome 7:NC_041734.1/CM014206.1; chromosome 8:NC_041735.1/CM014207.1; chromosome 9:NC_041736.1/CM014208.1; chromosome 10:NC_041737.1/CM014209.1; chromosome 11:NC_041738.1/CM014210.1; chromosome 12:NC_041739.1/CM014211.1; chromosome 13:NC_041740.1/CM014212.1; chromosome 14:NC_041741.1/CM014213.1; chromosome 15:NC_041742.1/CM014214.1; chromosome 16:NC_041743.1/CM014215.1; chromosome 17:NC_041744.1/CM014216.1; chromosome 18:NC_041745.1/CM014217.1; chromosome 19:NC_041746.1/CM014218.1; chromosome 20:NC_041747.1/CM014219.1; chromosome 21:NC_041748.1/CM014220.1; chromosome X1:NC_041749.1/CM014221.1; chromosome X2:NC_041750.1/CM014222.1; chromosome X3:NC_041751.1/CM014223.1; chromosome X4:NC_041752.1/CM014224.1; chromosome X5:NC_041753.1/CM014225.1; chromosome Y1:NC_053175.1/CM022557.1; chromosome Y2:NC_053176.1/CM026824.1; chromosome Y3:NC_053177.1/CM026825.1; chromosome Y4:NC_053178.1/CM022558.1; chromosome Y5:NC_053179.1/CM026826.1; mitochondrion MT:NC_000891.1/CM016609.2,RZJT02,322,38747,2019-01-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/215/GCA_004115215.4_mOrnAna1.pri.v4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/115/215/GCF_004115215.2_mOrnAna1.pri.v4
PRJNA698609,Gallus gallus,Eukaryota;Animals;Birds,bGalGal1,SAMN15960293,GCA_016699485.1, Chromosome,1053.33,42.2233,chromosome 1:NC_052532.1/CM028482.1; chromosome 2:NC_052533.1/CM028483.1; chromosome 3:NC_052534.1/CM028484.1; chromosome 4:NC_052535.1/CM028485.1; chromosome 5:NC_052536.1/CM028486.1; chromosome 6:NC_052537.1/CM028487.1; chromosome 7:NC_052538.1/CM028488.1; chromosome 8:NC_052539.1/CM028489.1; chromosome 9:NC_052540.1/CM028490.1; chromosome 10:NC_052541.1/CM028491.1; chromosome 11:NC_052542.1/CM028492.1; chromosome 12:NC_052543.1/CM028493.1; chromosome 13:NC_052544.1/CM028494.1; chromosome 14:NC_052545.1/CM028495.1; chromosome 15:NC_052546.1/CM028496.1; chromosome 16:NC_052547.1/CM028497.1; chromosome 17:NC_052548.1/CM028498.1; chromosome 18:NC_052549.1/CM028499.1; chromosome 19:NC_052550.1/CM028500.1; chromosome 20:NC_052551.1/CM028501.1; chromosome 21:NC_052552.1/CM028502.1; chromosome 22:NC_052553.1/CM028503.1; chromosome 23:NC_052554.1/CM028504.1; chromosome 24:NC_052555.1/CM028505.1; chromosome 25:NC_052556.1/CM028506.1; chromosome 26:NC_052557.1/CM028507.1; chromosome 27:NC_052558.1/CM028508.1; chromosome 28:NC_052559.1/CM028509.1; chromosome 29:NC_052560.1/CM028510.1; chromosome 30:NC_052561.1/CM028511.1; chromosome 31:NC_052562.1/CM028512.1; chromosome 32:NC_052563.1/CM028513.1; chromosome 33:NC_052564.1/CM028514.1; chromosome 34:NC_052565.1/CM028515.1; chromosome 35:NC_052566.1/CM028516.1; chromosome 36:NC_052567.1/CM028517.1; chromosome 37:NC_052568.1/CM028518.1; chromosome 38:NC_052569.1/CM028519.1; chromosome 39:NC_052570.1/CM028520.1; chromosome W:NC_052571.1/CM028521.1; chromosome Z:NC_052572.1/CM028522.1; mitochondrion MT:NC_053523.1/CM028585.1,JAENSK01,214,59256,2021-01-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/485/GCA_016699485.1_bGalGal1.mat.broiler.GRCg7b,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b
PRJNA263340,Struthio camelus australis,Eukaryota;Animals;Birds,BGI_N308,SAMN02316164,GCA_000698965.1,Scaffold,1225.04,41.3,mitochondrion MT:NC_002785.1/,JJRT01,6915,25438,2014-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/965/GCA_000698965.1_ASM69896v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/965/GCF_000698965.1_ASM69896v1
PRJNA484763,Dromaius novaehollandiae,Eukaryota;Animals;Birds,6597,SAMN08476457,GCA_003342905.1,Scaffold,1192.25,41.7,mitochondrion MT:NC_002784.1/,PTEY01,2778,31311,2018-07-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/905/GCA_003342905.1_droNov1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/342/905/GCF_003342905.1_droNov1
PRJNA314147,Coturnix japonica,Eukaryota;Animals;Birds,7356,SAMN03989050,GCA_001577835.2, Chromosome,927.657,41.3681,chromosome 1:NC_029516.1/CM003781.1; chromosome 2:NC_029517.1/CM003782.1; chromosome 3:NC_029518.1/CM003783.1; chromosome 4:NC_029519.1/CM003784.1; chromosome 5:NC_029520.1/CM003785.1; chromosome 6:NC_029521.1/CM003786.1; chromosome 7:NC_029522.1/CM003787.1; chromosome 8:NC_029523.1/CM003788.1; chromosome 9:NC_029524.1/CM003789.1; chromosome 10:NC_029525.1/CM003790.1; chromosome 11:NC_029526.1/CM003791.1; chromosome 12:NC_029527.1/CM003792.1; chromosome 13:NC_029528.1/CM003793.1; chromosome 14:NC_029529.1/CM003794.1; chromosome 15:NC_029530.1/CM003795.1; chromosome 16:NC_029531.1/CM003796.1; chromosome 17:NC_029532.1/CM003797.1; chromosome 18:NC_029533.1/CM003798.1; chromosome 19:NC_029534.1/CM003799.1; chromosome 20:NC_029535.1/CM003800.1; chromosome 21:NC_029536.1/CM003801.1; chromosome 22:NC_029537.1/CM003802.1; chromosome 23:NC_029538.1/CM003803.1; chromosome 24:NC_029539.1/CM003804.1; chromosome 25:NC_029540.1/CM003805.1; chromosome 26:NC_029541.1/CM003806.1; chromosome 27:NC_029542.1/CM003807.1; chromosome 28:NC_029543.1/CM003808.1; chromosome Z:NC_029547.1/CM003812.1; linkage group LGE22C19W28_E50C23:NC_029544.1/CM003809.1; linkage group LGE64:NC_029545.1/CM003810.1; mitochondrion MT:NC_003408.1/,LSZS01,2531,40894,2016-02-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/835/GCA_001577835.2_Coturnix_japonica_2.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.2_Coturnix_japonica_2.1
PRJNA198010,Falco peregrinus,Eukaryota;Animals;Birds,,SAMN02981425,GCA_000337955.1,Scaffold,1171.97,41.8,mitochondrion MT:NC_000878.1/,AKMT01,7021,31140,2013-02-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/955/GCA_000337955.1_F_peregrinus_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/955/GCF_000337955.1_F_peregrinus_v1.0
PRJNA707557,Gasterosteus aculeatus aculeatus,Eukaryota;Animals;Fishes,Lake Benthic,SAMN15223905,GCA_016920845.1, Chromosome,471.894,44.6951,chromosome 1:NC_053212.1/; chromosome XXI:CM029303.1; chromosome 2:NC_053213.1/; chromosome I:CM029282.1; chromosome 3:NC_053214.1/; chromosome II:CM029283.1; chromosome 4:NC_053215.1/; chromosome III:CM029284.1; chromosome 5:NC_053216.1/; chromosome IV:CM029285.1; chromosome 6:NC_053217.1/; chromosome V:CM029286.1; chromosome 7:NC_053218.1/; chromosome VI:CM029287.1; chromosome 8:NC_053219.1/; chromosome VII:CM029288.1; chromosome 9:NC_053220.1/; chromosome VIII:CM029289.1; chromosome 10:NC_053221.1/; chromosome IX:CM029290.1; chromosome 11:NC_053222.1/; chromosome Y:NC_053233.1/CM029297.1; chromosome 12:NC_053223.1/; chromosome X:CM029291.1; chromosome 13:NC_053224.1/; chromosome XI:CM029292.1; chromosome 14:NC_053225.1/; chromosome XII:CM029293.1; chromosome 15:NC_053226.1/; chromosome XIII:CM029294.1; chromosome 16:NC_053227.1/; chromosome XIV:CM029295.1; chromosome 17:NC_053228.1/; chromosome XV:CM029296.1; chromosome 18:NC_053229.1/; chromosome XVI:CM029298.1; chromosome 19:NC_053230.1/; chromosome XVII:CM029299.1; chromosome 20:NC_053231.1/; chromosome XVIII:CM029300.1; chromosome 21:NC_053232.1/; chromosome XIX:CM029301.1; chromosome XX:CM029302.1; mitochondrion MT:NC_041244.1/,JACDQR01,2937,45395,2021-02-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/920/845/GCA_016920845.1_GAculeatus_UGA_version5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/845/GCF_016920845.1_GAculeatus_UGA_version5
PRJNA695779,Drosophila yakuba,Eukaryota;Animals;Insects,Tai18E2,SAMN15573791,GCA_016746365.2, Chromosome,147.899,42.5512,chromosome X:NC_052526.2/CM028598.2; chromosome 2L:NC_052527.2/CM028599.2; chromosome 2R:NC_052528.2/CM028600.2; chromosome 3L:NC_052529.2/CM028601.2; chromosome 3R:NC_052530.2/CM028602.2; chromosome 4:NC_052531.2/CM028603.2; mitochondrion MT:NC_001322.1/CM028612.2,JAEDAC02,54,25398,2021-01-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/746/365/GCA_016746365.2_Prin_Dyak_Tai18E2_2.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/746/365/GCF_016746365.2_Prin_Dyak_Tai18E2_2.1
